# Cheirograph Phase 2 - single MPU-6050 (direct I2C, no mux), bench capture
# Sketch: firmware/02_single_mpu6050_test/diagnostics/accel_raw/accel_raw.ino
# Library: MPU6050_light (rfetick). Units: g. Loop delay 10 ms (~100 Hz).
# The sensor was picked up and rotated freely by hand; at rest aZ sits near 1.0
# (gravity), which is the quick sanity check that calibration + axes are right.
ax,ay,az
0.02,-0.00,1.00
0.01,0.00,1.00
0.01,0.00,1.00
-0.00,-0.00,0.99
-0.00,-0.01,0.99
-0.00,-0.01,0.99
-0.00,-0.01,1.00
0.01,-0.01,1.00
0.00,-0.01,1.00
0.00,-0.01,1.00
0.01,-0.01,1.00
0.01,-0.01,1.00
0.01,-0.01,0.99
-0.00,-0.01,0.99
-0.00,-0.01,1.00
-0.00,-0.00,0.99
0.00,-0.00,0.99
0.00,-0.00,0.99
-0.01,-0.00,0.99
0.02,0.01,1.01
0.02,0.01,1.01
0.00,-0.00,1.00
-0.01,-0.01,0.99
-0.01,-0.01,0.98
-0.01,-0.02,0.99
-0.01,-0.01,0.99
0.00,-0.00,1.00
0.01,0.00,1.00
0.01,0.00,1.01
0.00,-0.00,1.00
0.01,-0.00,1.00
0.01,-0.00,1.01
0.01,-0.00,1.00
0.01,-0.01,1.01
0.01,-0.02,1.01
0.10,-0.01,1.05
0.12,0.04,1.06
0.10,0.05,1.07
0.04,0.05,1.03
-0.04,0.04,1.00
-0.04,0.00,0.99
-0.04,0.01,1.01
-0.04,0.02,1.02
-0.02,0.04,1.06
-0.02,0.04,1.12
-0.03,0.03,1.12
0.00,0.05,1.13
0.01,0.06,1.14
-0.01,0.03,1.16
-0.02,0.02,1.19
0.02,0.02,1.21
0.00,0.03,1.24
0.01,0.02,1.24
0.02,0.06,1.24
0.05,0.12,1.27
0.01,0.18,1.26
-0.03,0.19,1.28
-0.03,0.37,1.36
0.02,0.41,1.29
-0.02,0.43,1.34
-0.04,0.45,1.35
-0.04,0.49,1.39
-0.06,0.49,1.42
-0.08,0.49,1.41
-0.11,0.45,1.41
-0.13,0.41,1.39
-0.14,0.38,1.39
-0.15,0.33,1.37
-0.22,0.28,1.41
-0.19,0.23,1.39
-0.19,0.14,1.36
-0.20,0.11,1.41
-0.16,0.12,1.44
-0.16,0.11,1.49
-0.19,0.10,1.40
-0.23,0.09,1.34
-0.25,0.09,1.26
-0.28,-0.02,1.22
-0.22,-0.12,1.19
-0.23,-0.22,1.17
-0.17,-0.25,1.18
0.01,-0.31,1.18
-0.13,-0.28,1.31
-0.02,-0.38,1.19
-0.04,-0.47,1.17
-0.09,-0.56,1.19
-0.07,-0.63,1.20
-0.10,-0.63,1.22
-0.04,-0.62,1.16
0.01,-0.39,1.19
-0.03,-0.57,1.05
-0.04,-0.51,1.10
-0.09,-0.65,1.05
-0.05,-0.66,1.07
-0.06,-0.62,1.02
-0.05,-0.63,1.03
-0.05,-0.66,1.01
-0.07,-0.71,1.04
-0.07,-0.76,1.08
-0.13,-0.76,1.07
-0.13,-0.76,1.06
-0.12,-0.74,1.07
-0.12,-0.71,1.04
-0.11,-0.69,1.00
-0.07,-0.62,1.09
-0.05,-0.61,1.06
-0.04,-0.56,1.03
-0.10,-0.59,0.99
-0.15,-0.59,1.02
-0.14,-0.56,0.95
-0.12,-0.49,0.93
-0.13,-0.45,0.91
-0.15,-0.42,0.93
-0.08,-0.41,1.02
-0.10,-0.42,1.00
-0.12,-0.38,0.94
-0.06,-0.26,0.92
-0.04,-0.23,0.93
-0.06,-0.24,0.85
-0.05,-0.19,0.81
-0.07,-0.12,0.88
-0.08,-0.11,0.87
-0.02,-0.10,0.99
-0.05,-0.13,1.03
-0.12,-0.15,1.01
-0.16,-0.11,1.02
-0.20,-0.09,0.90
-0.25,-0.02,0.82
-0.27,0.06,0.77
-0.29,0.17,0.67
-0.24,0.22,0.59
-0.23,0.18,0.55
-0.31,0.26,0.50
-0.32,0.43,0.50
-0.37,0.52,0.35
-0.33,0.39,0.35
-0.49,0.35,0.42
-0.64,0.47,0.44
-0.74,0.49,0.37
-0.78,0.43,0.32
-0.83,0.48,0.29
-0.81,0.56,0.27
-0.70,0.61,0.17
-0.72,0.67,0.19
-0.79,0.59,0.24
-0.85,0.54,0.21
-0.84,0.66,0.23
-0.77,0.63,0.26
-0.89,0.59,0.23
-0.97,0.61,0.21
-0.96,0.65,0.19
-0.96,0.68,0.22
-0.96,0.70,0.26
-0.95,0.68,0.33
-0.85,0.64,0.41
-0.91,0.65,0.29
-0.91,0.68,0.31
-0.95,0.67,0.31
-1.00,0.65,0.36
-1.04,0.59,0.38
-1.06,0.58,0.34
-1.11,0.58,0.31
-1.20,0.74,0.21
-1.18,0.67,0.25
-1.15,0.68,0.18
-1.17,0.73,0.23
-1.14,0.68,0.30
-1.12,0.66,0.30
-1.12,0.66,0.33
-1.12,0.66,0.36
-1.13,0.69,0.34
-1.16,0.83,0.33
-1.12,0.73,0.37
-0.93,0.66,0.56
-0.91,0.66,0.59
-0.90,0.64,0.53
-0.76,0.57,0.48
-0.72,0.54,0.48
-0.62,0.54,0.46
-0.55,0.48,0.46
-0.58,0.41,0.55
-0.53,0.32,0.51
-0.45,0.30,0.46
-0.30,0.36,0.53
-0.15,0.28,0.57
-0.09,0.21,0.69
-0.05,0.16,0.73
-0.06,0.13,0.73
0.00,0.08,0.80
0.01,0.04,0.84
-0.02,0.03,0.78
-0.09,0.02,0.73
-0.13,0.04,0.69
-0.17,0.06,0.69
-0.25,0.03,0.76
-0.29,-0.04,0.79
-0.10,-0.05,1.04
-0.19,-0.00,0.98
-0.17,0.03,0.93
-0.08,0.07,1.04
-0.08,0.06,1.19
-0.15,0.07,1.29
-0.17,0.15,1.37
-0.20,0.18,1.41
-0.20,0.11,1.45
-0.26,-0.05,1.36
-0.45,-0.17,1.40
-0.28,-0.08,1.51
-0.35,0.01,1.57
-0.55,-0.08,1.65
-0.62,-0.21,1.80
-0.60,-0.33,1.99
-0.56,-0.36,2.25
-0.58,-0.36,2.30
-0.70,-0.32,2.19
-0.66,-0.25,2.25
-0.73,-0.27,2.22
-0.89,0.19,1.76
-0.74,-0.03,2.18
-0.72,-0.03,2.15
-0.75,-0.04,2.06
-0.85,-0.19,2.12
-0.91,-0.20,2.16
-0.91,-0.22,2.12
-0.95,-0.22,2.04
-0.97,-0.16,2.08
-0.99,-0.15,2.07
-1.02,-0.16,2.11
-1.00,-0.20,2.10
-0.99,-0.19,2.10
-1.01,-0.22,2.05
-1.00,-0.26,2.11
-0.98,-0.27,2.16
-0.95,-0.25,2.19
-0.91,-0.26,2.22
-0.93,-0.22,2.27
-0.94,-0.23,2.30
-0.90,-0.24,2.33
-0.89,-0.29,2.27
-0.96,-0.18,2.32
-0.96,-0.24,2.27
-0.89,-0.33,2.16
-0.86,-0.42,2.15
-0.81,-0.49,2.19
-0.76,-0.45,2.16
-0.74,-0.38,2.14
-0.67,-0.34,2.16
-0.62,-0.35,2.08
-0.61,-0.31,2.03
-0.61,-0.32,1.97
-0.59,-0.36,1.98
-0.55,-0.41,1.91
-0.54,-0.44,1.82
-0.54,-0.45,1.76
-0.50,-0.47,1.74
-0.46,-0.50,1.72
-0.47,-0.53,1.67
-0.45,-0.57,1.64
-0.45,-0.56,1.61
-0.42,-0.56,1.58
-0.44,-0.62,1.49
-0.57,-0.64,1.31
-0.59,-0.59,1.40
-0.50,-0.72,1.44
-0.47,-0.90,1.53
-0.49,-0.96,1.60
-0.52,-0.96,1.67
-0.56,-0.93,1.69
-0.58,-0.95,1.65
-0.62,-1.03,1.56
-0.70,-1.05,1.53
-0.72,-1.04,1.51
-0.72,-1.00,1.48
-0.73,-0.97,1.51
-0.73,-0.95,1.47
-0.75,-0.90,1.42
-0.78,-0.89,1.36
-0.86,-0.87,1.25
-0.88,-0.91,1.22
-0.86,-0.96,1.27
-0.87,-0.98,1.31
-0.91,-1.02,1.32
-0.94,-1.02,1.36
-0.96,-1.04,1.38
-1.04,-1.08,1.31
-1.09,-1.06,1.30
-1.10,-1.04,1.26
-1.10,-1.06,1.26
-1.09,-1.05,1.26
-1.06,-1.04,1.32
-1.05,-1.07,1.35
-1.10,-1.06,1.31
-1.07,-1.15,1.34
-1.05,-1.19,1.35
-1.01,-1.20,1.33
-0.97,-1.22,1.36
-0.92,-1.22,1.45
-0.88,-1.17,1.51
-0.84,-1.17,1.56
-0.80,-1.17,1.59
-0.77,-1.20,1.56
-0.76,-1.15,1.55
-0.72,-1.12,1.57
-0.60,-1.08,1.62
-0.50,-1.01,1.65
-0.49,-1.03,1.65
-0.43,-0.98,1.68
-0.46,-0.94,1.68
-0.46,-0.95,1.58
-0.47,-0.89,1.49
-0.48,-0.83,1.39
-0.43,-0.76,1.33
-0.37,-0.70,1.31
-0.37,-0.60,1.24
-0.49,-0.55,1.07
-0.41,-0.44,1.10
-0.37,-0.37,1.11
-0.24,-0.26,1.19
-0.21,-0.17,1.19
-0.17,-0.13,1.22
-0.15,-0.09,1.22
-0.18,-0.00,1.25
-0.22,0.08,1.20
-0.22,0.17,1.16
-0.26,0.28,1.15
-0.28,0.39,1.19
-0.36,0.48,1.22
-0.39,0.58,1.27
-0.39,0.69,1.26
-0.43,0.73,1.25
-0.45,0.76,1.25
-0.51,0.79,1.21
-0.48,0.79,1.25
-0.48,0.82,1.30
-0.47,0.86,1.43
-0.52,0.91,1.44
-0.61,0.95,1.31
-0.62,0.97,1.31
-0.58,0.96,1.27
-0.63,0.96,1.25
-0.65,0.89,1.23
-0.64,0.84,1.21
-0.65,0.82,1.21
-0.66,0.78,1.29
-0.69,0.70,1.23
-0.69,0.68,1.27
-0.73,0.68,1.33
-0.78,0.68,1.34
-0.83,0.65,1.35
-0.89,0.65,1.30
-0.96,0.58,1.27
-1.06,0.56,1.36
-1.18,0.64,1.40
-1.27,0.75,1.33
-1.31,0.89,1.34
-1.37,0.95,1.36
