# Cheirograph Phase 2 - single MPU-6050 (direct I2C, no mux), bench capture
# Sketch: firmware/02_single_mpu6050_test/diagnostics/gyro_raw/gyro_raw.ino
# Library: MPU6050_light (rfetick). Units: deg/s. Loop delay 10 ms (~100 Hz).
# The sensor was rotated and shaken freely by hand; rates swing to ~+/-240 deg/s
# on the fast flicks and settle near a small constant bias (~2-3 deg/s) when held
# still, which is the leftover the Madgwick filter will have to lean on later.
gx,gy,gz
2.03,1.42,-1.23
2.55,0.03,-2.17
2.72,-1.28,-3.03
2.43,-1.71,-3.13
1.65,-1.47,-3.33
0.70,-0.66,-2.20
0.18,0.43,-0.37
0.23,0.86,1.42
-0.36,1.85,3.37
-0.59,2.98,5.43
-1.19,4.38,6.76
-1.53,5.16,7.45
-1.45,5.50,7.51
-0.96,5.18,7.06
-0.04,4.26,6.51
0.87,3.68,5.58
1.79,2.63,4.36
2.92,1.91,3.29
3.30,1.27,2.56
3.89,-0.06,2.12
4.60,-0.11,2.15
4.57,0.49,2.27
4.67,0.06,2.45
4.06,0.32,2.58
2.84,0.14,2.84
1.35,0.81,2.53
-0.15,1.65,2.01
-1.59,2.79,1.45
-2.56,3.19,1.28
-2.98,3.48,0.32
-2.78,3.66,-0.14
-2.91,4.44,0.12
-3.43,5.47,0.55
-3.94,7.19,1.38
-4.18,9.34,2.06
-4.29,11.25,2.35
-3.45,12.03,2.06
-2.06,12.02,0.24
-0.47,11.11,-2.48
1.89,7.53,-5.67
3.88,4.52,-9.36
5.65,1.70,-11.71
6.20,1.65,-13.03
7.48,3.27,-11.50
7.33,5.21,-8.28
6.96,6.34,-5.10
7.53,6.82,-2.34
7.96,4.79,-0.33
8.11,4.52,1.03
7.51,5.07,1.89
7.18,5.60,1.67
7.28,3.22,-1.76
7.88,0.92,-5.26
11.48,-1.82,-5.35
15.64,-0.82,-3.78
17.56,2.76,-2.28
18.60,7.71,-2.66
20.78,8.66,-7.36
25.59,4.47,-16.00
30.02,-3.24,-24.34
30.80,-10.30,-30.65
32.46,-14.56,-36.22
35.45,-20.89,-40.05
38.06,-24.63,-45.04
38.84,-30.82,-51.58
44.38,-34.35,-58.98
78.70,-61.60,-63.09
69.50,-62.95,-65.04
58.23,-49.95,-57.93
44.80,-40.93,-58.31
34.06,-46.29,-63.44
28.70,-49.94,-63.03
21.86,-47.36,-58.33
18.08,-45.04,-50.68
25.28,-45.37,-44.16
34.23,-47.88,-42.22
39.45,-42.66,-47.32
39.50,-32.20,-53.55
36.46,-17.65,-56.10
36.20,-2.14,-55.29
27.53,17.01,-52.52
20.00,36.67,-47.96
16.83,46.14,-41.97
13.56,44.49,-34.20
12.89,36.09,-25.93
11.68,26.20,-14.39
5.62,8.38,-5.97
3.10,11.60,12.33
-1.89,17.45,28.32
-8.14,13.99,33.61
-14.61,2.82,33.23
-20.82,-2.85,30.30
-26.44,2.05,26.79
-31.98,6.75,24.79
-35.98,8.52,23.16
-41.16,8.34,20.61
-41.45,7.66,16.13
-40.94,1.68,13.86
-41.16,0.05,14.76
-41.94,-2.03,15.35
-42.79,-11.16,12.82
-40.93,-13.01,11.78
-39.04,-11.57,12.35
-38.41,-11.97,11.98
-39.53,-10.67,12.73
-43.05,-4.73,16.55
-48.84,-2.43,19.81
-51.86,-9.36,23.43
-48.91,0.90,26.58
-51.40,-5.27,28.27
-63.97,-28.47,27.51
-70.84,-36.72,29.37
-62.75,-55.72,26.39
-50.23,-65.36,23.71
-36.50,-36.40,15.35
-27.01,-10.00,4.67
-19.53,6.46,-4.13
-18.56,1.21,-13.88
-14.44,-1.89,-19.30
-17.01,-7.57,-17.55
-24.58,-14.21,-12.05
-27.49,-19.01,-15.23
-26.01,-18.76,-14.80
-24.98,-10.29,-11.55
-23.48,0.24,-6.19
-19.33,11.45,-2.52
-13.97,24.32,-2.65
-12.50,40.60,-2.07
-16.85,49.89,-4.86
-19.01,49.97,-7.16
-17.36,46.15,-6.51
-15.63,46.32,-4.43
-15.91,49.66,-0.05
-14.44,46.82,7.57
-8.67,41.91,13.86
-1.95,40.40,19.17
-2.50,43.92,21.60
-6.49,49.76,23.61
-4.58,54.05,25.52
-0.65,59.73,28.47
-0.07,61.88,30.18
-2.96,64.72,41.20
-0.87,54.26,51.54
-0.38,47.70,53.93
3.41,53.05,54.26
4.90,58.67,53.66
8.93,53.39,53.38
12.44,54.81,51.57
12.44,68.49,44.87
13.67,82.52,35.02
14.15,93.66,26.07
17.57,98.38,27.17
16.47,99.59,38.27
12.29,95.42,49.64
9.80,86.73,54.45
11.91,81.74,53.37
16.61,87.82,42.53
17.15,103.85,29.37
20.35,125.28,20.67
34.38,134.34,19.35
49.15,137.53,24.41
54.96,141.99,25.38
57.24,143.60,27.19
59.39,135.59,31.74
58.63,122.58,34.30
54.29,107.22,34.61
50.40,93.99,34.32
47.18,90.20,35.17
46.43,83.50,36.74
54.14,66.47,39.81
64.34,64.12,41.29
69.80,74.84,35.14
75.85,79.36,29.93
82.23,81.74,29.20
87.51,78.23,34.33
92.76,75.36,44.51
94.83,71.89,48.77
99.01,71.70,43.40
103.45,76.02,33.64
99.62,80.79,24.53
93.59,65.65,24.21
89.13,45.92,33.81
85.45,41.13,45.90
82.64,42.66,54.41
76.67,29.34,64.15
71.88,6.08,73.64
66.47,1.59,72.03
62.43,12.32,59.34
59.77,24.69,42.93
61.94,25.31,31.84
63.80,39.42,20.48
64.08,61.21,5.45
62.28,74.05,-1.09
56.98,52.21,4.32
55.73,14.03,19.08
54.44,-6.92,25.05
51.44,-7.63,18.18
45.09,2.12,5.42
40.11,-20.00,-1.64
38.09,-41.74,0.97
28.75,-34.82,-3.12
21.64,-8.72,-10.07
18.57,10.63,-13.21
14.92,13.21,-10.57
8.06,3.70,-2.07
0.31,-26.27,11.42
-7.16,-66.43,28.85
-14.99,-101.11,44.53
-27.04,-118.52,51.87
-39.25,-111.43,51.16
-45.19,-96.20,49.28
-47.51,-104.69,49.58
-49.68,-116.66,48.65
-51.17,-120.93,42.77
-52.79,-122.56,34.35
-53.95,-126.99,29.84
-55.97,-133.69,33.63
-58.18,-139.53,39.95
-61.34,-122.89,42.38
-60.50,-105.54,41.81
-58.07,-102.72,40.42
-58.29,-99.91,38.73
-58.36,-106.35,34.01
-59.63,-110.01,25.81
-63.65,-110.59,13.93
-67.46,-106.50,2.84
-68.04,-91.30,-4.49
-66.06,-72.41,-9.82
-62.98,-65.14,-11.64
-60.17,-70.64,-8.28
-61.53,-70.96,-4.63
-66.33,-68.79,-4.91
-70.52,-69.60,-6.75
-75.54,-69.11,-9.32
-80.43,-64.12,-12.37
-84.93,-53.66,-15.90
-89.78,-41.86,-20.13
-92.09,-33.04,-22.74
-91.89,-24.76,-23.76
-90.81,-13.68,-24.22
-88.94,-7.05,-23.21
-88.32,-0.84,-21.32
-86.33,9.25,-19.09
-84.17,20.14,-18.37
-82.49,31.59,-20.54
-79.62,54.11,-23.96
-76.47,82.31,-27.23
-71.66,94.60,-26.71
-68.70,100.03,-19.23
-66.26,105.60,-6.83
-64.20,102.32,-0.17
-60.32,102.37,8.77
-56.64,101.86,18.13
-52.40,96.60,25.49
-45.33,102.21,27.61
-35.98,112.73,25.81
-25.86,126.81,21.69
-16.85,151.59,15.38
-9.04,165.97,13.46
-2.75,173.25,16.26
0.20,175.97,26.44
0.61,178.34,34.61
2.63,180.64,40.71
7.64,171.31,42.70
9.94,157.01,42.21
8.81,151.13,43.78
8.18,145.07,49.71
10.67,139.24,55.34
15.68,136.05,59.45
23.70,138.61,57.17
35.57,149.53,48.06
46.40,163.97,32.36
51.50,173.89,20.18
48.25,177.77,16.90
43.18,168.90,22.13
39.56,153.77,32.13
36.41,143.51,37.69
36.29,137.01,36.68
40.44,130.96,30.39
44.64,126.15,21.16
46.08,133.24,13.49
47.22,130.12,7.34
50.80,119.48,4.42
55.62,115.13,2.47
59.56,118.95,-0.00
64.20,112.89,-1.73
69.21,101.89,-2.72
73.25,91.92,-1.65
72.98,85.31,0.35
69.41,73.92,2.45
65.38,61.19,4.62
59.86,51.10,4.06
53.19,44.98,0.32
45.79,42.86,-3.24
37.89,42.02,-4.43
29.12,36.37,-3.96
19.65,31.45,-2.92
13.80,27.92,-2.22
10.76,16.72,-2.78
7.35,-0.78,-2.16
3.18,-11.01,-0.95
-2.27,-16.59,-1.88
-9.40,-25.11,-4.83
-17.63,-32.37,-6.78
-24.32,-31.92,-5.36
-26.52,-27.98,-3.45
-24.85,-25.28,-2.72
-19.74,-16.49,-1.94
-12.93,-15.08,-1.44
-5.54,-16.99,-1.53
-2.01,-18.38,-4.66
-1.27,-16.93,-11.49
1.53,-5.59,-20.05
5.02,8.76,-29.09
5.73,23.22,-36.80
3.12,31.41,-42.13
-1.04,28.58,-43.70
-8.03,11.22,-36.72
-11.78,-13.56,-24.62
-12.15,-29.89,-16.05
-10.93,-23.40,-17.94
-9.74,-8.58,-26.33
-10.82,13.86,-36.55
-11.60,36.38,-46.02
-10.26,49.99,-53.04
-9.22,47.68,-55.15
-5.77,27.18,-52.72
-4.67,11.80,-51.39
-6.99,12.14,-57.18
-9.72,18.32,-63.50
-15.56,30.08,-66.58
-22.26,36.43,-63.64
-26.98,30.00,-55.06
-29.24,12.57,-45.59
-28.36,-5.45,-37.53
-27.56,-14.03,-34.65
-26.04,-9.57,-35.67
-21.48,-4.44,-39.84
-16.23,3.94,-43.52
-10.26,10.34,-44.02
-4.01,14.84,-40.68
1.48,17.97,-35.32
4.60,18.20,-29.21
4.40,13.53,-24.02
1.97,6.96,-18.25
-3.66,-0.12,-10.20
-13.45,-9.22,-1.18
-22.23,-17.47,7.90
-28.35,-24.09,14.59
-30.33,-32.24,23.23
-28.30,-29.69,28.22
-23.31,-23.40,30.82
-16.64,-15.05,34.29
-11.77,-8.15,35.49
-10.88,-6.06,41.52
-10.91,-1.72,43.16
-11.14,-3.27,44.06
-12.47,-4.73,47.49
-16.67,-1.56,49.25
-20.61,1.68,49.89
-22.18,1.79,54.58
-22.21,1.66,59.87
-18.88,-3.14,65.58
-14.21,-3.68,68.59
-7.04,-4.15,69.69
0.14,-8.53,69.31
4.95,-10.79,66.22
7.30,-7.04,63.08
8.51,-4.21,60.56
10.25,-1.40,58.79
10.37,7.97,57.19
9.57,21.19,55.43
9.68,31.86,53.26
12.09,38.58,53.54
15.01,43.60,56.15
16.52,48.32,59.17
19.57,49.18,62.35
23.99,56.00,64.64
30.46,68.99,67.23
35.94,78.05,65.40
39.54,83.68,63.16
40.99,86.82,60.03
