# sensor 0 OK
# sensor 1 OK
# sensor 2 OK
# sensor 3 OK
# sensor 4 OK
# sensor 5 OK
# sensor 0 = onboard LSM6DS3, 1..5 = finger MPU-6050
# SUBTRACT_GYRO_BIAS=1
# units: quat unitless, roll/pitch/yaw deg
millis,sensor_id,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg
# calib_start hold_still_ms=10000
# ---- gyro bias table (deg/s) from still window ----
# sensor_id,n,bias_x,bias_y,bias_z,std_x,std_y,std_z
# 0,1001,-0.198,-1.596,-0.458,0.213,0.049,0.055
# 1,1001,1.071,2.047,1.060,0.081,0.109,0.084
# 2,1001,0.360,2.009,-1.217,0.090,0.125,0.085
# 3,1001,-0.938,3.508,-0.463,0.089,0.147,0.084
# 4,1001,-0.317,3.755,-1.464,0.091,0.203,0.101
# 5,1001,5.788,-6.984,-0.814,0.286,0.344,0.119
# --------------------------------------------------
# ---- seeding orientation from calibration-window accel ----
# sensor 0 seed_accel=0.010,-0.013,1.006
# sensor 1 seed_accel=0.999,-0.001,0.148
# sensor 2 seed_accel=0.993,-0.015,0.220
# sensor 3 seed_accel=0.991,0.014,0.220
# sensor 4 seed_accel=0.975,-0.002,0.260
# sensor 5 seed_accel=1.230,0.171,0.097
# calib_end — fusion running now
10998,0,0.99961,-0.01998,-0.01969,-0.00005,-2.29,-2.26,0.04
10998,1,0.75251,0.00954,-0.65835,-0.01438,14.06,-82.12,-14.45
10998,2,0.78422,-0.01390,-0.61950,-0.03214,4.44,-76.54,-8.20
10998,3,0.78866,0.02502,-0.61397,0.02077,3.26,-75.80,0.48
10998,4,0.80189,-0.00455,-0.59745,-0.00081,-1.27,-73.37,0.83
10998,5,0.66149,0.37195,-0.55730,0.33690,48.78,-81.08,11.59
11009,0,0.99999,-0.00335,-0.00319,-0.00005,-0.38,-0.37,-0.00
11009,1,0.75882,-0.00514,-0.65127,-0.00175,-2.08,-81.27,1.53
11009,2,0.77799,-0.02833,-0.62730,-0.02064,-4.92,-77.75,0.93
11009,3,0.77833,0.02468,-0.62701,0.02116,3.20,-77.71,0.54
11009,4,0.79187,-0.00222,-0.61068,-0.00263,-0.07,-75.28,-0.33
11009,5,0.65658,0.38514,-0.56098,0.32538,62.28,-80.85,-1.74
11021,0,0.99961,-0.02058,-0.01905,-0.00006,-2.36,-2.18,0.04
11021,1,0.74913,-0.00175,-0.66240,-0.00471,1.69,-82.96,-2.22
11021,2,0.78590,-0.01636,-0.61740,-0.03013,2.78,-76.27,-6.57
11021,3,0.78803,0.02460,-0.61479,0.02108,3.03,-75.92,0.70
11021,4,0.80155,0.00423,-0.59786,-0.00760,3.18,-73.41,-3.46
11021,5,0.65093,0.37149,-0.56876,0.33882,51.90,-82.83,8.53
11032,0,0.99999,-0.00348,-0.00304,-0.00006,-0.40,-0.35,-0.01
11032,1,0.75997,-0.00518,-0.64994,-0.00173,-2.07,-81.07,1.51
11032,2,0.77950,-0.03062,-0.62536,-0.01886,-6.38,-77.45,2.35
11032,3,0.77768,0.02367,-0.62783,0.02193,2.52,-77.83,1.20
11032,4,0.79207,-0.00209,-0.61042,-0.00272,0.00,-75.24,-0.40
11032,5,0.65803,0.38582,-0.55927,0.32459,62.07,-80.57,-1.53
11043,0,0.99961,-0.02103,-0.01855,-0.00005,-2.41,-2.12,0.04
11043,1,0.75003,0.00174,-0.66135,-0.00770,5.83,-82.77,-6.32
11043,2,0.77849,-0.01242,-0.62664,-0.03350,6.03,-77.55,-9.78
11043,3,0.78822,0.02526,-0.61453,0.02056,3.42,-75.89,0.32
11043,4,0.80238,-0.00273,-0.59680,-0.00222,-0.34,-73.28,-0.06
11043,5,0.65423,0.37005,-0.56537,0.33970,49.06,-82.39,11.34
11055,0,0.99999,-0.00352,-0.00300,-0.00006,-0.40,-0.34,-0.01
11055,1,0.76007,-0.00566,-0.64982,-0.00131,-2.54,-81.05,1.98
11055,2,0.77978,-0.02906,-0.62506,-0.02013,-5.31,-77.42,1.30
11055,3,0.77788,0.02486,-0.62757,0.02100,3.34,-77.79,0.40
11055,4,0.79311,-0.00277,-0.60907,-0.00222,-0.38,-75.04,-0.03
11055,5,0.65617,0.38585,-0.56133,0.32476,63.06,-80.85,-2.52
11067,0,0.99966,-0.01729,-0.01948,-0.00007,-1.98,-2.23,0.03
11067,1,0.74950,-0.00225,-0.66199,-0.00428,1.06,-82.90,-1.60
11067,2,0.77049,-0.02056,-0.63655,-0.02714,0.87,-79.12,-4.75
11067,3,0.78832,0.02203,-0.61444,0.02316,1.47,-75.87,2.22
11067,4,0.80225,0.00581,-0.59689,-0.00878,3.94,-73.26,-4.19
11067,5,0.66506,0.37661,-0.55281,0.33206,51.84,-80.20,8.55
11079,0,0.99999,-0.00326,-0.00072,-0.00001,-0.37,-0.08,-0.00
11079,1,0.76037,-0.00529,-0.64947,-0.00164,-2.17,-81.00,1.61
11079,2,0.78062,-0.02646,-0.62405,-0.02229,-3.51,-77.28,-0.46
11079,3,0.77833,0.02664,-0.62699,0.01964,4.54,-77.70,-0.76
11079,4,0.79377,-0.00423,-0.60820,-0.00116,-1.17,-74.92,0.73
11079,5,0.65579,0.38471,-0.56192,0.32585,62.35,-81.01,-1.82
11090,0,0.99966,-0.01811,-0.01883,-0.00007,-2.08,-2.16,0.03
11090,1,0.75171,0.00262,-0.65943,-0.00845,6.60,-82.46,-7.07
11090,2,0.77059,-0.03147,-0.63629,-0.01842,-7.58,-79.05,3.52
11090,3,0.78728,0.02044,-0.61577,0.02447,0.49,-76.07,3.18
11090,4,0.79032,0.01331,-0.61238,-0.01461,8.86,-75.37,-8.97
11090,5,0.66404,0.37646,-0.55395,0.33236,52.02,-80.38,8.37
11101,0,1.00000,-0.00255,-0.00131,-0.00003,-0.29,-0.15,-0.00
11101,1,0.76114,-0.00663,-0.64855,-0.00047,-3.42,-80.85,2.84
11101,2,0.78099,-0.02753,-0.62357,-0.02139,-4.23,-77.21,0.24
11101,3,0.77811,0.02879,-0.62722,0.01795,6.01,-77.72,-2.20
11101,4,0.79321,-0.00460,-0.60893,-0.00084,-1.39,-75.02,0.95
11101,5,0.65540,0.38557,-0.56222,0.32511,63.25,-80.99,-2.71
11113,0,0.99966,-0.01990,-0.01705,-0.00005,-2.28,-1.95,0.03
11113,1,0.75149,0.00123,-0.65971,-0.00725,5.04,-82.53,-5.53
11113,2,0.77065,-0.02482,-0.63633,-0.02370,-2.45,-79.10,-1.50
11113,3,0.78432,0.01410,-0.61948,0.02965,-3.60,-76.55,7.18
11113,4,0.79777,0.01206,-0.60269,-0.01358,7.43,-74.01,-7.55
