t_ms,hand_ax,hand_ay,hand_az,hand_gx,hand_gy,hand_gz,thumb_ax,thumb_ay,thumb_az,thumb_gx,thumb_gy,thumb_gz,index_ax,index_ay,index_az,index_gx,index_gy,index_gz,middle_ax,middle_ay,middle_az,middle_gx,middle_gy,middle_gz,ring_ax,ring_ay,ring_az,ring_gx,ring_gy,ring_gz,pinky_ax,pinky_ay,pinky_az,pinky_gx,pinky_gy,pinky_gz
77450,0.1161,-0.0945,-0.9827,-0.2289,-1.5106,-0.5951,-2.6301,0.0846,0.0370,246.0938,14.6637,-11.7493,-0.9816,-0.0010,-0.0145,-0.5188,-332.0007,479.3396,0.0370,1.9688,0.1169,-11.7188,-122.7722,-0.1373,-0.0137,-0.0039,-2.6560,-51.8951,4.6234,246.0938,0.1168,-0.0938,-0.9830,-0.1068,-1.6937,-0.5798
77930,0.1162,-0.0950,-0.9816,-0.0916,-1.8158,-0.5035,-2.6555,-0.9462,0.0371,246.0938,14.5874,-11.6882,-0.9817,-0.0016,-0.0142,-0.6256,-328.2471,350.4944,0.0372,1.9688,0.1165,-11.8561,-122.6807,-0.1373,-0.0137,-0.0035,-2.6299,-176.8341,4.6539,246.0938,0.1165,-0.0936,-0.9811,-0.1221,-1.7090,-0.5493
78410,0.1188,-0.0927,-0.9817,-0.1221,-1.6632,-0.5035,-2.6558,-1.9144,0.0374,246.0938,14.4958,-11.8408,-0.9806,-0.0006,-0.0134,-0.5493,-328.4607,229.4617,0.0375,1.9688,0.1180,-11.7645,-122.7722,-0.1221,-0.0142,-0.0039,-2.6523,-301.7731,4.6844,246.0938,0.1187,-0.0935,-0.9806,-0.0916,-1.8158,-0.5493
78890,0.1178,-0.0941,-0.9816,-0.1678,-1.7548,-0.4883,-2.6270,-2.9452,0.0376,246.0938,14.5721,-11.5509,-0.9811,-0.0009,-0.0135,-0.5493,-328.1860,100.6165,0.0377,1.9688,0.1169,-11.5356,-122.6196,-0.2289,-0.0155,-0.0049,-2.6255,-426.7120,4.7150,246.0938,0.1162,-0.0957,-0.9812,-0.1984,-1.6937,-0.4578
79370,0.1169,-0.0927,-0.9816,-0.1068,-1.8311,-0.5493,-2.6257,-3.9135,0.0378,246.0938,14.7247,-11.7188,-0.9806,-0.0011,-0.0137,-0.4883,-328.2471,-20.4163,0.0378,1.9688,0.1182,-11.7798,-122.8333,-0.1068,-0.0131,-0.0039,-2.6548,448.3490,4.7455,246.0938,0.1165,-0.0942,-0.9812,-0.1221,-1.6632,-0.5951
79850,0.1183,-0.0947,-0.9801,-0.0916,-1.5106,-0.5035,-2.6270,3.0870,0.0381,246.0938,14.4501,-11.6882,-0.9823,-0.0007,-0.0144,-0.6409,-328.5828,-149.2615,0.0381,1.9688,0.1167,-11.7798,-122.5433,-0.1221,-0.0139,-0.0051,-2.6260,319.5038,4.7760,246.0938,0.1166,-0.0945,-0.9800,-0.1984,-1.6937,-0.5493
80330,0.1178,-0.0942,-0.9806,-0.0763,-1.7548,-0.5188,-2.6274,2.0875,0.0383,246.0938,14.6179,-11.5967,-0.9828,-0.0021,-0.0145,-0.5951,-328.3997,-270.2942,0.0383,1.9688,0.1184,-11.7188,-122.8790,-0.1984,-0.0140,-0.0038,-2.6296,198.4711,4.8065,246.0938,0.1187,-0.0942,-0.9817,-0.2594,-1.5869,-0.5646
80810,0.1168,-0.0941,-0.9818,-0.1221,-1.6937,-0.5646,-2.6265,1.0880,0.0386,246.0938,14.6942,-11.9781,-0.9818,-0.0010,-0.0135,-0.5798,-331.6345,-399.1394,0.0386,1.9688,0.1179,-11.7188,-122.7264,-0.0916,-0.0139,-0.0044,-2.6262,69.6259,4.8370,246.0938,0.1168,-0.0945,-0.9814,-0.1068,-1.8005,-0.6256
81290,0.1177,-0.0951,-0.9823,-0.1373,-1.6632,-0.5646,-2.6550,0.0885,0.0388,246.0938,14.5416,-11.7035,-0.9802,-0.0016,-0.0134,-0.5035,-328.4302,479.8279,0.0388,1.9688,0.1166,-11.7950,-122.7875,-0.0916,-0.0135,-0.0054,-2.6531,-51.4069,4.8523,246.0938,0.1172,-0.0934,-0.9830,-0.0458,-1.7395,-0.6714
81770,0.1184,-0.0948,-0.9811,-0.2289,-1.6632,-0.5646,-2.6282,-0.9110,0.0389,246.0938,14.6942,-11.7340,-0.9816,-0.0004,-0.0135,-0.5951,-331.6650,354.8889,0.0391,1.9688,0.1162,-11.7035,-122.7112,-0.0458,-0.0126,-0.0040,-2.6563,-180.2521,4.8828,246.0938,0.1168,-0.0944,-0.9801,-0.2289,-1.6785,-0.6256
82250,0.1168,-0.0944,-0.9812,-0.0458,-1.6174,-0.5035,-2.6545,-1.9105,0.0392,246.0938,14.6179,-11.6882,-0.9802,-0.0010,-0.0131,-0.5798,-331.9702,229.9500,0.0393,1.9688,0.1162,-11.7798,-122.7875,-0.2441,-0.0129,-0.0046,-2.6543,-301.2848,4.9133,246.0938,0.1173,-0.0955,-0.9817,-0.1068,-1.7090,-0.5798
82730,0.1172,-0.0934,-0.9800,-0.0763,-1.6632,-0.3815,-2.6282,-2.9100,0.0394,246.0938,14.7705,-11.5967,-0.9808,-0.0012,-0.0144,-0.5798,-328.4912,105.0110,0.0396,1.9688,0.1171,-11.7493,-122.6959,-0.1068,-0.0139,-0.0042,-2.6545,-430.1300,4.9438,246.0938,0.1178,-0.0939,-0.9811,-0.1678,-1.6937,-0.5798
83209,0.1168,-0.0948,-0.9808,-0.2136,-1.7090,-0.5493,-2.6272,-3.9095,0.0397,246.0938,14.6484,-11.7798,-0.9821,-0.0010,-0.0133,-0.5646,-328.5522,-19.9280,0.0397,1.9688,0.1165,-11.6119,-122.5433,-0.0763,-0.0127,-0.0045,-2.6538,448.8373,4.9744,246.0938,0.1179,-0.0947,-0.9812,-0.0458,-1.8311,-0.5035
