t_ms,hand_ax,hand_ay,hand_az,hand_gx,hand_gy,hand_gz,thumb_ax,thumb_ay,thumb_az,thumb_gx,thumb_gy,thumb_gz,index_ax,index_ay,index_az,index_gx,index_gy,index_gz,middle_ax,middle_ay,middle_az,middle_gx,middle_gy,middle_gz,ring_ax,ring_ay,ring_az,ring_gx,ring_gy,ring_gz,pinky_ax,pinky_ay,pinky_az,pinky_gx,pinky_gy,pinky_gz
130250,0.1174,-0.0935,-0.9800,-0.0916,-1.6327,-0.5951,-2.6257,2.1071,0.0621,246.0938,14.7705,-11.6882,-0.9799,-0.0007,-0.0133,-0.5951,-328.2471,-267.8528,0.0621,1.9688,0.1168,-11.8103,-122.5586,-0.0763,-0.0137,-0.0046,-2.6560,200.9125,7.7820,246.0938,0.1168,-0.0951,-0.9811,-0.0763,-1.7395,-0.6714
130731,0.1172,-0.0946,-0.9806,-0.0458,-1.8005,-0.6104,-2.6277,1.1075,0.0624,246.0938,14.6790,-11.7493,-0.9811,-0.0017,-0.0132,-0.5493,-328.3081,-396.6980,0.0624,1.9688,0.1169,-11.8713,-122.4976,-0.1221,-0.0140,-0.0049,-2.6536,72.0673,7.8125,246.0938,0.1166,-0.0929,-0.9802,-0.1984,-1.7395,-0.4883
131210,0.1174,-0.0935,-0.9812,-0.1068,-1.6937,-0.5493,-2.6260,0.1080,0.0626,246.0938,14.6332,-11.9171,-0.9805,-0.0009,-0.0140,-0.7019,-328.3691,482.2693,0.0626,1.9688,0.1172,-11.8713,-122.6044,-0.1373,-0.0135,-0.0045,-2.6257,-48.9655,7.8278,246.0938,0.1179,-0.0938,-0.9801,-0.1984,-1.8768,-0.4883
131691,0.1166,-0.0956,-0.9806,-0.1221,-1.7090,-0.5951,-2.6541,-0.8915,0.0627,246.0938,14.6637,-11.8256,-0.9819,-0.0018,-0.0140,-0.5646,-328.3997,357.3303,0.0629,1.9688,0.1178,-11.8256,-122.6196,-0.1526,-0.0131,-0.0055,-2.6526,-177.8107,7.8583,246.0938,0.1173,-0.0945,-0.9813,-0.1526,-1.6937,-0.7019
132170,0.1172,-0.0935,-0.9811,-0.0916,-1.7700,-0.5646,-2.6296,-1.8910,0.0630,246.0938,14.6637,-11.6577,-0.9825,-0.0012,-0.0133,-0.5951,-328.1555,232.3914,0.0631,1.9688,0.1168,-11.9324,-122.5128,-0.1221,-0.0134,-0.0046,-2.6255,-298.8434,7.8888,246.0938,0.1168,-0.0945,-0.9813,-0.0916,-1.8005,-0.6104
132651,0.1173,-0.0935,-0.9810,-0.0458,-1.7853,-0.5646,-2.6538,-2.8905,0.0632,246.0938,14.5416,-11.9629,-0.9796,-0.0016,-0.0137,-0.5798,-332.0007,107.4524,0.0634,1.9688,0.1160,-11.7645,-122.5433,-0.0305,-0.0123,-0.0050,-2.6255,-427.6886,7.9193,246.0938,0.1167,-0.0947,-0.9810,-0.2441,-1.7395,-0.5188
133130,0.1178,-0.0944,-0.9797,-0.1678,-1.8005,-0.6714,-2.6257,-3.9213,0.0635,246.0938,14.6637,-11.8866,-0.9810,-0.0009,-0.0142,-0.6104,-331.7566,-17.4866,0.0635,1.9688,0.1162,-11.8256,-122.4823,-0.1068,-0.0134,-0.0046,-2.6553,451.2787,7.9498,246.0938,0.1177,-0.0933,-0.9791,-0.1373,-1.7548,-0.5798
133611,0.1165,-0.0941,-0.9825,-0.0458,-1.7395,-0.6104,-2.6270,3.1105,0.0637,246.0938,14.6027,-11.7188,-0.9802,-0.0006,-0.0133,-0.5493,-332.0313,-142.4255,0.0637,1.9688,0.1169,-11.7493,-122.6654,-0.2136,-0.0134,-0.0046,-2.6543,326.3397,7.9803,246.0938,0.1179,-0.0951,-0.9819,-0.0916,-1.7090,-0.4730
134090,0.1165,-0.0948,-0.9827,-0.0305,-1.7090,-0.5646,-2.6538,2.0797,0.0640,246.0938,14.7858,-11.7645,-0.9797,-0.0013,-0.0144,-0.5798,-328.1555,-267.3645,0.0640,1.9688,0.1172,-11.7493,-122.6349,-0.1526,-0.0143,-0.0046,-2.6252,201.4008,8.0109,246.0938,0.1179,-0.0947,-0.9805,-0.0763,-1.5717,-0.6104
134571,0.1187,-0.0931,-0.9805,-0.2136,-1.6937,-0.5493,-2.6504,1.1115,0.0642,246.0938,14.6332,-11.7340,-0.9807,-0.0028,-0.0146,-0.5798,-331.8787,-392.3035,0.0642,1.9688,0.1174,-11.7188,-122.5128,-0.1068,-0.0135,-0.0039,-2.6277,76.4618,8.0414,246.0938,0.1172,-0.0947,-0.9797,-0.1373,-1.7395,-0.6256
